City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,thunder bay,48.4001,-89.3168,27.514,55,75,2.57,CA,1711760342
80,saudarkrokur,65.7461,-19.6394,27.067,85,79,8.45,IS,1711760526
81,yaren,-0.5472,166.916,30.157999999999998,81,30,6.68,NR,1711760640
82,arenapolis,-14.4503,-56.8461,29.708999999999996,94,96,1.05,BR,1711760533
83,taltal,-25.4,-70.4833,29.345,80,22,1.61,CL,1711760513
84,beja,36.7256,9.1817,29.496,43,0,1.13,TN,1711760641
85,tolanaro,-25.0319,46.9987,29.819,88,20,3.09,MG,1711760641
86,sao joao da barra,-21.6403,-41.0511,29.919999999999998,94,100,4.19,BR,1711760641
87,sandnessjoen,66.0217,12.6316,27.344,74,100,7.02,NO,1711760641
88,nyachera,-0.9,30.4167,29.041000000000004,93,100,0.09,UG,1711760642
89,thinadhoo,0.5333,72.9333,30.176,75,76,3.32,MV,1711760642
90,kuqa,41.7278,82.9364,28.752999999999997,23,100,1.09,CN,1711760424
91,quiberon,47.4841,-3.1196,28.320999999999998,76,100,4.57,FR,1711760642
92,puerto cabezas,14.0351,-83.3888,29.887999999999998,76,0,3.53,NI,1711760642
93,petropavlovsk-kamchatsky,53.0452,158.6483,27.248,77,0,3.0,RU,1711760642
94,isafjordur,66.0755,-23.124,27.133,89,100,12.94,IS,1711760642
95,whitehorse,60.7161,-135.0538,28.058,33,75,5.66,CA,1711760563
96,schweizer-reneke,-27.1887,25.3293,28.957,41,0,3.4,ZA,1711760643
97,coyhaique,-45.5752,-72.0662,28.112000000000002,57,75,3.6,CL,1711760643
98,logten,56.2746,10.3118,27.879,95,40,0.51,DK,1711760643
99,remire-montjoly,4.9167,-52.2667,29.717000000000002,100,100,1.54,GF,1711760643
100,villa madero,19.4,-101.2667,29.066000000000003,20,47,1.8,MX,1711760643
101,quellon,-43.1167,-73.6167,28.145999999999997,90,7,2.32,CL,1711760477
102,manaure,11.7751,-72.4445,29.893,72,97,6.26,CO,1711760644
103,sergeyevka,53.88,67.4158,26.843,93,100,5.85,KZ,1711760644
104,nay pyi taw,19.745,96.1297,29.955000000000002,33,6,2.12,MM,1711760644
105,teotlaltzingo,19.2333,-98.4833,29.212,24,20,5.14,MX,1711760644
106,marsabit,2.3284,37.9899,29.383999999999997,71,13,3.75,KE,1711760645
107,korla,41.7597,86.1469,28.787,27,27,0.79,CN,1711760645
108,kill devil hills,36.0307,-75.676,28.716,58,0,0.0,US,1711760645
109,ta`u,-14.2336,-169.5144,30.23,76,91,3.62,AS,1711760645
110,bursa,40.1667,29.0833,27.917,66,65,1.78,TR,1711760484
111,selfoss,63.9331,-20.9971,27.04,57,7,8.83,IS,1711760646
112,vila franca do campo,37.7167,-25.4333,28.838,84,100,9.02,PT,1711760646
113,quepos,9.4236,-84.1652,30.034,79,22,0.66,CR,1711760646
114,udachny,66.4167,112.4,25.525,86,94,4.23,RU,1711760541
115,nabire,-3.3667,135.4833,30.338,67,65,1.19,ID,1711760646
116,susuman,62.7833,148.1667,26.814,86,100,4.02,RU,1711760646
117,macultepec,18.1667,-92.8333,29.875999999999998,75,0,4.63,MX,1711760647
118,kuusamo,65.9667,29.1833,26.917,74,40,4.12,FI,1711760647
119,qaqortoq,60.7167,-46.0333,26.445999999999998,83,2,2.41,GL,1711760647
120,touros,-5.1989,-35.4608,30.032,85,100,2.89,BR,1711760402
121,bikenibeu village,1.3673,173.1241,30.413,79,20,4.63,KI,1711760647
122,sarupathar,26.1984,93.8094,29.520999999999997,79,100,0.79,IN,1711760647
123,solnechnyy,50.7214,136.6319,27.206,83,100,1.78,RU,1711760648
124,nova vicosa,-17.8919,-39.3719,29.931,89,37,2.66,BR,1711760638
